,Year_of_award,Nominees,Laureate,Birth_year,Death_year,Affiliation,Rationale,Country_of_birth,Officialstatename,InternetccTLD,iso2,iso3
51,1946,"Gabriel Bertrand , Gilbert Newton Lewis , Casimir Funk , Robert Robinson , Hermann Staudinger , Wendell Meredith Stanley , Linus Pauling , Jacques Tréfouël , John Howard Northrop , James Batcheller Sumner , Klaus Clusius , Hans Adolf Krebs , Robert Burns Woodward , Hugh Stott Taylor , William von Eggers Doering , Alexander Frumkin , Nikolay Semyonov",James Batcheller Sumner,1887,1955,Cornell University,"""for his discovery that enzymes can be crystallized""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
52,1946,"Gabriel Bertrand , Gilbert Newton Lewis , Casimir Funk , Robert Robinson , Hermann Staudinger , Wendell Meredith Stanley , Linus Pauling , Jacques Tréfouël , John Howard Northrop , James Batcheller Sumner , Klaus Clusius , Hans Adolf Krebs , Robert Burns Woodward , Hugh Stott Taylor , William von Eggers Doering , Alexander Frumkin , Nikolay Semyonov",John Howard Northrop,1891,1987,Rockefeller University,"""for their preparation of enzymes and virus proteins in a pure form""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
53,1946,"Gabriel Bertrand , Gilbert Newton Lewis , Casimir Funk , Robert Robinson , Hermann Staudinger , Wendell Meredith Stanley , Linus Pauling , Jacques Tréfouël , John Howard Northrop , James Batcheller Sumner , Klaus Clusius , Hans Adolf Krebs , Robert Burns Woodward , Hugh Stott Taylor , William von Eggers Doering , Alexander Frumkin , Nikolay Semyonov",Wendell Meredith Stanley,1904,1971,Rockefeller University,"""for their preparation of enzymes and virus proteins in a pure form""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
54,1947,"Walther Nernst , Gabriel Bertrand , Otto Hahn , Lise Meitner , Robert Robinson , Hermann Staudinger , Jaroslav Heyrovský , William Giauque , Tadeusz Reichstein , Vincent du Vigneaud , Klaus Clusius , Robert Burns Woodward , William von Eggers Doering , Nikolay Semyonov , Cyril Norman Hinshelwood , Arne Tiselius , Henri Devaux[305] , Leo Szilard , J.R. Geigy SA (founded by J. R. Geigy-Merian)[308][309] , Paul Läuger[311] , Otto Robert Frisch , Willard Libby , Efraim Racker , Henry Montague (Monty) Frey",Sir Robert Robinson,1886,1975,University of Oxford,"""for his investigations on plant products of biological importance, especially the alkaloids""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
55,1948,"Gabriel Bertrand , Friedrich Paneth , Johannes Nicolaus Brønsted , Charles Dufraisse , Hermann Staudinger , Fritz Kögl , William Giauque , Vladimir Ipatieff , Robley Cook Williams , Linus Pauling , Christopher Kelk Ingold , Albert Marcel Germain René Portevin , Tadeusz Reichstein , Vincent du Vigneaud , Klaus Clusius , Robert Burns Woodward , Nikolay Semyonov , Cyril Norman Hinshelwood , Arne Tiselius , Otto Robert Frisch , Edwin McMillan , Philip Abelson , Paul Lebeau , David Rittenberg , Alfred Mirsky , Paul Rabe , Gerhard Dickel , Joseph William Kennedy , Pierre Armand Jacquet , Morris Selig Kharasch , Roger Adams , Hans Meerwein , Arvid Hedvall , Chester Hamlin Werkman",Arne Wilhelm Kaurin Tiselius,1902,1971,Uppsala University,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins""",Sweden,,,,
56,1949,"Gabriel Bertrand , Paul Pascal , Johannes Nicolaus Brønsted , Hermann Staudinger , Otto Diels , Fritz Kögl , William Giauque , Kurt Alder , Vladimir Ipatieff , Ernest Fourneau , Linus Pauling , Christopher Kelk Ingold , Tadeusz Reichstein , Vincent du Vigneaud , Klaus Clusius , Cyril Norman Hinshelwood , Roger Adams , Arvid Hedvall , Chester Hamlin Werkman , Albert Kluyver , Harland Goff Wood , Alexander Robertus Todd , Edward Calvin Kendall , Edwin Joseph Cohn , George William Heise[336] , Karl Miescher , George Malcolm Dyson , Friedrich Richter[341] , Domingo Giribaldo , Ralph Walter Graystone Wyckoff , David Keilin , Karl August Folkers , Walter Reppe , William Cumming Rose , Michael Heidelberger",William Francis Giauque,1895,1982,"University of California, Berkeley","""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
57,1950,"Walther Nernst , Gabriel Bertrand , Otto Hahn , Lise Meitner , Charles Dufraisse , Hermann Staudinger , Otto Diels , Jaroslav Heyrovský , Fritz Kögl , Max Bergmann , Kurt Alder , Wojciech Świętosławski , Fritz London , Vladimir Ipatieff , Arthur Stoll , Linus Pauling , Jacques Tréfouël , Christopher Kelk Ingold , Albert Marcel Germain René Portevin , James Wilfred Cook , Walter Heitler , Tadeusz Reichstein , Vincent du Vigneaud , Klaus Clusius , Henry Eyring , Hans Adolf Krebs , Nikolay Semyonov , Pierre Armand Jacquet , Arvid Hedvall , Chester Hamlin Werkman , Harland Goff Wood , David Keilin , Walter Reppe , William Cumming Rose , Archer Martin , Richard Laurence Millington Synge , Melvin Calvin , Dorothy Mary Crowfoot Hodgkin , Robert S. Mulliken , Paul Flory , Selman Waksman , Fritz Albert Lipmann , George Beadle , Thérèse Tréfouël , Gladwin Albert Hurst Buttle[365] , Arthur Wahl , John Warren Hamaker , Glenn E. Sheline [373] , Wendell Mitchell Latimer , Louis Werner , Isadore Perlman , Paul Kirk , Raphael Consden[374] , Arthur Hugh Gordon , Kaj Ulrik Linderstrøm-Lang , Edward Joseph Conway , Hermann Irving Schlesinger , Choh Hao Li , Burris Bell Cunningham , Willard Libby , Efraim Racker , Henry Montague (Monty) Frey",Otto Paul Hermann Diels,1876,1954,University of Kiel,"""for their discovery and development of the diene synthesis""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
58,1950,"Walther Nernst , Gabriel Bertrand , Otto Hahn , Lise Meitner , Charles Dufraisse , Hermann Staudinger , Otto Diels , Jaroslav Heyrovský , Fritz Kögl , Max Bergmann , Kurt Alder , Wojciech Świętosławski , Fritz London , Vladimir Ipatieff , Arthur Stoll , Linus Pauling , Jacques Tréfouël , Christopher Kelk Ingold , Albert Marcel Germain René Portevin , James Wilfred Cook , Walter Heitler , Tadeusz Reichstein , Vincent du Vigneaud , Klaus Clusius , Henry Eyring , Hans Adolf Krebs , Nikolay Semyonov , Pierre Armand Jacquet , Arvid Hedvall , Chester Hamlin Werkman , Harland Goff Wood , David Keilin , Walter Reppe , William Cumming Rose , Archer Martin , Richard Laurence Millington Synge , Melvin Calvin , Dorothy Mary Crowfoot Hodgkin , Robert S. Mulliken , Paul Flory , Selman Waksman , Fritz Albert Lipmann , George Beadle , Thérèse Tréfouël , Gladwin Albert Hurst Buttle[365] , Arthur Wahl , John Warren Hamaker , Glenn E. Sheline [373] , Wendell Mitchell Latimer , Louis Werner , Isadore Perlman , Paul Kirk , Raphael Consden[374] , Arthur Hugh Gordon , Kaj Ulrik Linderstrøm-Lang , Edward Joseph Conway , Hermann Irving Schlesinger , Choh Hao Li , Burris Bell Cunningham , Willard Libby , Efraim Racker , Henry Montague (Monty) Frey",Kurt Alder,1902,1958,University of Cologne,"""for their discovery and development of the diene synthesis""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
59,1951,"Hermann Staudinger , Fritz Kögl , Arthur Stoll , Linus Pauling , Jacques Tréfouël , Christopher Kelk Ingold , Vincent du Vigneaud , Klaus Clusius , Cyril Norman Hinshelwood , Edwin McMillan , Alexander Robertus Todd , Walter Reppe , Archer Martin , Richard Laurence Millington Synge , Selman Waksman , Raphael Consden[374] , Arthur Hugh Gordon , Choh Hao Li , Max Perutz , Yasuhiko Asahina , Ian Heilbron , Rudolph Peters",Edwin Mattison McMillan,1907,1991,"University of California, Berkeley","""for their discoveries in the chemistry of transuranium elements""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
60,1951,"Hermann Staudinger , Fritz Kögl , Arthur Stoll , Linus Pauling , Jacques Tréfouël , Christopher Kelk Ingold , Vincent du Vigneaud , Klaus Clusius , Cyril Norman Hinshelwood , Edwin McMillan , Alexander Robertus Todd , Walter Reppe , Archer Martin , Richard Laurence Millington Synge , Selman Waksman , Raphael Consden[374] , Arthur Hugh Gordon , Choh Hao Li , Max Perutz , Yasuhiko Asahina , Ian Heilbron , Rudolph Peters",Glenn Theodore Seaborg,1912,1999,"University of California, Berkeley","""for their discoveries in the chemistry of transuranium elements""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
61,1952,"Walther Nernst , Otto Hahn , Sergei Winogradsky , Lise Meitner , Friedrich Paneth , Charles Dufraisse , Karl-Friedrich Bonhoeffer , Hermann Staudinger , Werner Kuhn , Jaroslav Heyrovský , Hugo Theorell , Paul Harteck , Arthur Stoll , Linus Pauling , James Wilfred Cook , Vincent du Vigneaud , Klaus Clusius , Cyril Norman Hinshelwood , Morris Selig Kharasch , Roger Adams , Hans Meerwein , Chester Hamlin Werkman , Harland Goff Wood , Alexander Robertus Todd , Ralph Walter Graystone Wyckoff , Walter Reppe , Archer Martin , Richard Laurence Millington Synge , Paul Flory , Fritz Albert Lipmann , Hermann Irving Schlesinger , Willard Libby , Yasuhiko Asahina , Frederick Sanger , Frits Zernike , Claude Hudson , Walther Kossel , Francis Simon , William Hume-Rothery , Marguerite Perey , Lyman Craig , Erich Müller (probably Erwin Wilhelm Müller) , Alexander Braunstein , Walter Hieber , Efraim Racker , Henry Montague (Monty) Frey",Archer John Porter Martin,1910,2002,National Institute for Medical Research,"""for their invention of partition chromatography""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
62,1952,"Walther Nernst , Otto Hahn , Sergei Winogradsky , Lise Meitner , Friedrich Paneth , Charles Dufraisse , Karl-Friedrich Bonhoeffer , Hermann Staudinger , Werner Kuhn , Jaroslav Heyrovský , Hugo Theorell , Paul Harteck , Arthur Stoll , Linus Pauling , James Wilfred Cook , Vincent du Vigneaud , Klaus Clusius , Cyril Norman Hinshelwood , Morris Selig Kharasch , Roger Adams , Hans Meerwein , Chester Hamlin Werkman , Harland Goff Wood , Alexander Robertus Todd , Ralph Walter Graystone Wyckoff , Walter Reppe , Archer Martin , Richard Laurence Millington Synge , Paul Flory , Fritz Albert Lipmann , Hermann Irving Schlesinger , Willard Libby , Yasuhiko Asahina , Frederick Sanger , Frits Zernike , Claude Hudson , Walther Kossel , Francis Simon , William Hume-Rothery , Marguerite Perey , Lyman Craig , Erich Müller (probably Erwin Wilhelm Müller) , Alexander Braunstein , Walter Hieber , Efraim Racker , Henry Montague (Monty) Frey",Richard Laurence Millington Synge,1914,1994,The Rowett Institute,"""for their invention of partition chromatography""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
63,1953,"Walther Nernst , Otto Hahn , Lise Meitner , Friedrich Paneth , Hermann Staudinger , Jaroslav Heyrovský , Hugo Theorell , Arthur Stoll , Linus Pauling , Christopher Kelk Ingold , Klaus Clusius , Robert Burns Woodward , Cyril Norman Hinshelwood , Morris Selig Kharasch , Hans Meerwein , Alexander Robertus Todd , Walter Reppe , Michael Heidelberger , Kaj Ulrik Linderstrøm-Lang , Hermann Irving Schlesinger , Choh Hao Li , Willard Libby , Ian Heilbron , Frederick Sanger , Lyman Craig , Emilio Segrè , Øjvind Winge , Izaak Maurits Kolthoff , Efraim Racker , Henry Montague (Monty) Frey",Hermann Staudinger,1881,1965,University of Freiburg,"""for his discoveries in the field of macromolecular chemistry""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
64,1954,"Walther Nernst , Otto Hahn , Lise Meitner , Friedrich Paneth , Charles Dufraisse , Jaroslav Heyrovský , Hugo Theorell , Arthur Stoll , Linus Pauling , Christopher Kelk Ingold , Vincent du Vigneaud , Klaus Clusius , Robert Burns Woodward , Morris Selig Kharasch , Hans Meerwein , Arvid Hedvall , Alexander Robertus Todd , David Keilin , Karl August Folkers , Walter Reppe , George Beadle , Hermann Irving Schlesinger , Willard Libby , Frederick Sanger , Francis Simon , Lyman Craig , Emilio Segrè , Edward Tatum , Karl Ziegler , Efraim Racker , Henry Montague (Monty) Frey",Linus Pauling,1901,1994,California Institute of Technology,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
65,1955,"Walther Nernst , Gabriel Bertrand , Otto Hahn , Lise Meitner , Friedrich Paneth , Jaroslav Heyrovský , Hugo Theorell , Linus Pauling , Christopher Kelk Ingold , Vincent du Vigneaud , Klaus Clusius , Robert Burns Woodward , Nikolay Semyonov , Cyril Norman Hinshelwood , Morris Selig Kharasch , Arvid Hedvall , Alexander Robertus Todd , David Keilin , Walter Reppe , Hermann Irving Schlesinger , Willard Libby , Frederick Sanger , Lyman Craig , Emilio Segrè , Giulio Natta , George Porter , Lars Onsager , Louis Fieser , Josef Mattauch , Félix Trombe , Max Volmer , Fritz Feigl , John Clarke Slater , Martin Kamen , Efraim Racker , Henry Montague (Monty) Frey",Vincent du Vigneaud,1901,1978,Cornell University,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
66,1956,"Walther Nernst , Otto Hahn , Lise Meitner , Friedrich Paneth , Niels Bjerrum , Charles Dufraisse , Werner Kuhn , Jaroslav Heyrovský , Erik Karl Mauritz Hägglund , Robley Cook Williams , Christopher Kelk Ingold , Klaus Clusius , Robert Burns Woodward , Nikolay Semyonov , Cyril Norman Hinshelwood , Morris Selig Kharasch , Hans Meerwein , Arvid Hedvall , Alexander Robertus Todd , Walter Reppe , Dorothy Mary Crowfoot Hodgkin , Paul Flory , Kaj Ulrik Linderstrøm-Lang , Hermann Irving Schlesinger , Choh Hao Li , Willard Libby , Frederick Sanger , Lyman Craig , Walter Hieber , Emilio Segrè , Karl Ziegler , George Porter , Lars Onsager , Max Volmer , Severo Ochoa de Albornoz , Georges Lemaître , Ernest Gale , Joan P. Folkes , Boris Arbuzov , Aleksandr Arbuzov , Heinz Fraenkel-Conrat , Jannik Bjerrum , Friedrich Emil Brauns , Karl Freudenberg , Efraim Racker , Henry Montague (Monty) Frey",Sir Cyril Norman Hinshelwood,1897,1967,University of Oxford,"""for their researches into the mechanism of chemical reactions""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
67,1956,"Walther Nernst , Otto Hahn , Lise Meitner , Friedrich Paneth , Niels Bjerrum , Charles Dufraisse , Werner Kuhn , Jaroslav Heyrovský , Erik Karl Mauritz Hägglund , Robley Cook Williams , Christopher Kelk Ingold , Klaus Clusius , Robert Burns Woodward , Nikolay Semyonov , Cyril Norman Hinshelwood , Morris Selig Kharasch , Hans Meerwein , Arvid Hedvall , Alexander Robertus Todd , Walter Reppe , Dorothy Mary Crowfoot Hodgkin , Paul Flory , Kaj Ulrik Linderstrøm-Lang , Hermann Irving Schlesinger , Choh Hao Li , Willard Libby , Frederick Sanger , Lyman Craig , Walter Hieber , Emilio Segrè , Karl Ziegler , George Porter , Lars Onsager , Max Volmer , Severo Ochoa de Albornoz , Georges Lemaître , Ernest Gale , Joan P. Folkes , Boris Arbuzov , Aleksandr Arbuzov , Heinz Fraenkel-Conrat , Jannik Bjerrum , Friedrich Emil Brauns , Karl Freudenberg , Efraim Racker , Henry Montague (Monty) Frey",Nikolay Nikolaevich Semenov,1896,1986,"Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow State University","""for their researches into the mechanism of chemical reactions""",RUSSIAN FEDERATION (THE),The Russian Federation,.ru,RU,RUS
68,1957,"Walther Nernst , Gabriel Bertrand , Otto Hahn , Lise Meitner , Paul Pascal , Friedrich Paneth , Werner Kuhn , Jaroslav Heyrovský , Wojciech Świętosławski , Arthur Stoll , Christopher Kelk Ingold , Klaus Clusius , Robert Burns Woodward , Nikolay Semyonov , Morris Selig Kharasch , Roger Adams , Hans Meerwein , Arvid Hedvall , Alexander Robertus Todd , Walter Reppe , William Cumming Rose , Melvin Calvin , Dorothy Mary Crowfoot Hodgkin , Robert S. Mulliken , Paul Flory , Hermann Irving Schlesinger , Willard Libby , Frederick Sanger , William Hume-Rothery , Lyman Craig , Emilio Segrè , Karl Ziegler , Giulio Natta , Lars Onsager , Fritz Feigl , Severo Ochoa de Albornoz , Aleksandr Arbuzov , Karl Freudenberg , Oswald Avery , Colin Munro MacLeod , Maclyn McCarty , Marietta Blau , Paul Henri Charpentier , Charles DuBois Coryell , Maurice-Marie Janot , Aleksandr Volodymyrovych Palladin , Georg Stadnikov , Eric Rideal , Bernard Leonard Horecker , Friedrich Hund , Erich Hückel , Carl Wagner , Efraim Racker , Henry Montague (Monty) Frey",Lord (Alexander R.) Todd,1907,1997,University of Cambridge,"""for his work on nucleotides and nucleotide co-enzymes""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
69,1958,"Walther Nernst , Otto Hahn , Lise Meitner , Paul Pascal , Friedrich Paneth , Charles Dufraisse , Werner Kuhn , Jaroslav Heyrovský , Wojciech Świętosławski , Christopher Kelk Ingold , Klaus Clusius , Henry Eyring , Robert Burns Woodward , Hans Meerwein , Arvid Hedvall , Karl August Folkers , Walter Reppe , Melvin Calvin , Kaj Ulrik Linderstrøm-Lang , Hermann Irving Schlesinger , Choh Hao Li , Willard Libby , Frederick Sanger , Marguerite Perey , Lyman Craig , Emilio Segrè , Karl Ziegler , Giulio Natta , Lars Onsager , Severo Ochoa de Albornoz , Jannik Bjerrum , Karl Freudenberg , Carl Wagner , Luis Federico Leloir , Gerhard Herzberg , Vladimir Prelog , Georg Wittig , Maria Goeppert Mayer , Johannes Hans Daniel Jensen , Bogdan Kamieński , Max Mousseron , Yoshiyuki Toyama , Yevgeny Zavoisky , Jean Brachet , Gerold Schwarzenbach , Herman Francis Mark , Efraim Racker , Henry Montague (Monty) Frey",Frederick Sanger,1918,2013,University of Cambridge,"""for his work on the structure of proteins, especially that of insulin""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
70,1959,"Walther Nernst , Otto Hahn , Lise Meitner , Werner Kuhn , Jaroslav Heyrovský , Arthur Stoll , Christopher Kelk Ingold , Albert Marcel Germain René Portevin , Walter Heitler , Klaus Clusius , Henry Eyring , Robert Burns Woodward , Roger Adams , Hans Meerwein , Walter Reppe , William Cumming Rose , Melvin Calvin , Dorothy Mary Crowfoot Hodgkin , Edward Joseph Conway , Hermann Irving Schlesinger , Choh Hao Li , Willard Libby , Max Perutz , Lyman Craig , Karl Ziegler , Giulio Natta , Josef Mattauch , Max Volmer , Severo Ochoa de Albornoz , Carl Wagner , Vladimir Prelog , John Kendrew , Arthur Kornberg , Feodor Lynen , David Ezra Green , Francis Owen Rice , Günter Scheibe , Frederick Rossini , Jean Marcel Albert Chedin , Bror Alexander Ludvig Holmberg , Egon Wiberg , William Gardner Pfann , Walter Hans Schottky , Michael Polanyi , Efraim Racker , Henry Montague (Monty) Frey",Jaroslav Heyrovský,1890,1967,Czechoslovak Academy of Sciences,"""for his discovery and development of the polarographic methods of analysis""",CZECHIA,The Czech Republic,.cz,CZ,CZE
71,1960,"Paul Pascal , Otto Heinrich Warburg , Werner Kuhn , Wojciech Świętosławski , Arthur Stoll , Christopher Kelk Ingold , Karl Paul Link , Henry Eyring , Robert Burns Woodward , Roger Adams , Hans Meerwein , Arvid Hedvall , David Keilin , Walter Reppe , Melvin Calvin , Dorothy Mary Crowfoot Hodgkin , Hermann Irving Schlesinger , Max Perutz , Lyman Craig , Karl Ziegler , Giulio Natta , Lars Onsager , Max Volmer , Heinz Fraenkel-Conrat , Jannik Bjerrum , Karl Freudenberg , Gerhard Herzberg , Georg Wittig , Yevgeny Zavoisky , Gerold Schwarzenbach , Feodor Lynen , William Gardner Pfann , Michael Polanyi , Derek Barton , Odd Hassel , Ilya Prigogine , James Watson , Francis Crick , Maurice Wilkins , Alfred Hershey , Wilhelm Gerard Burgers , Martin Deutsch , Andrew Benson , Howard Cary , Arnold Orville Beckman , Jo Engl , Joseph Massolle , Hans Vogt , Roger John Williams , Martha Cowles Chase , Alfred Gierer , John G. Aston , Gerhard Schramm , Manfred Eigen",Willard Frank Libby,1908,1980,"University of California, Los Angeles","""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
72,1961,"Werner Kuhn , Christopher Kelk Ingold , Klaus Clusius , Henry Eyring , Robert Burns Woodward , Hans Meerwein , Karl August Folkers , Walter Reppe , Melvin Calvin , Dorothy Mary Crowfoot Hodgkin , Robert S. Mulliken , Hermann Irving Schlesinger , Choh Hao Li , Max Perutz , Marguerite Perey , Karl Ziegler , Giulio Natta , George Porter , Félix Trombe , Aleksandr Arbuzov , Heinz Fraenkel-Conrat , Jannik Bjerrum , Karl Freudenberg , Bernard Leonard Horecker , Luis Federico Leloir , Gerhard Herzberg , Georg Wittig , John Kendrew , Feodor Lynen , Derek Barton , Ronald George Wreyford Norrish , Konrad Emil Bloch , Torbjörn Caspersson , Pierre Van Rysselberghe , Robert Corey , Bo Lars Gunnar Sillén , Georges Chaudron , Johannes Martin Bijvoet , Daniel Israel Arnon , Harry George Drickamer , Leslie Orgel",Melvin Calvin,1911,1997,"University of California, Berkeley","""for his research on the carbon dioxide assimilation in plants""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
73,1962,"Werner Kuhn , Christopher Kelk Ingold , Robert Burns Woodward , Alexander Frumkin , Hans Meerwein , Arvid Hedvall , Karl August Folkers , Walter Reppe , William Cumming Rose , Michael Heidelberger , Dorothy Mary Crowfoot Hodgkin , Burris Bell Cunningham , Max Perutz , Karl Ziegler , Giulio Natta , Lars Onsager , Fritz Feigl , Martin Kamen , Aleksandr Arbuzov , Heinz Fraenkel-Conrat , Luis Federico Leloir , John Kendrew , Feodor Lynen , Derek Barton , James Watson , Francis Crick , Maurice Wilkins , Alfred Gierer , Manfred Eigen , Konrad Emil Bloch , Robert Corey , Daniel Israel Arnon , Ernst Otto Fischer , Louis Néel , Nikolay Vasilyevich Belov , Maurice Stacey , Tadeusz Urbanski , Karl-Wolfgang Mundry , Peter Pauson , Clemens Josef Schöpf , Alexander Pavlovich Vinogradov , Sanʼichirō Mizushima , Louis Plack Hammett , Carl Djerassi",Max Ferdinand Perutz,1914,2002,MRC Laboratory of Molecular Biology,"""for their studies of the structures of globular proteins""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
74,1962,"Werner Kuhn , Christopher Kelk Ingold , Robert Burns Woodward , Alexander Frumkin , Hans Meerwein , Arvid Hedvall , Karl August Folkers , Walter Reppe , William Cumming Rose , Michael Heidelberger , Dorothy Mary Crowfoot Hodgkin , Burris Bell Cunningham , Max Perutz , Karl Ziegler , Giulio Natta , Lars Onsager , Fritz Feigl , Martin Kamen , Aleksandr Arbuzov , Heinz Fraenkel-Conrat , Luis Federico Leloir , John Kendrew , Feodor Lynen , Derek Barton , James Watson , Francis Crick , Maurice Wilkins , Alfred Gierer , Manfred Eigen , Konrad Emil Bloch , Robert Corey , Daniel Israel Arnon , Ernst Otto Fischer , Louis Néel , Nikolay Vasilyevich Belov , Maurice Stacey , Tadeusz Urbanski , Karl-Wolfgang Mundry , Peter Pauson , Clemens Josef Schöpf , Alexander Pavlovich Vinogradov , Sanʼichirō Mizushima , Louis Plack Hammett , Carl Djerassi",John Cowdery Kendrew,1917,1997,MRC Laboratory of Molecular Biology,"""for their studies of the structures of globular proteins""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
75,1963,"Werner Kuhn , Fritz London , Christopher Kelk Ingold , Walter Heitler , Henry Eyring , Robert Burns Woodward , Alexander Frumkin , Hans Meerwein , Dorothy Mary Crowfoot Hodgkin , Robert S. Mulliken , Choh Hao Li , Burris Bell Cunningham , Max Perutz , Izaak Maurits Kolthoff , Karl Ziegler , Giulio Natta , Fritz Feigl , Martin Kamen , Heinz Fraenkel-Conrat , Jannik Bjerrum , Carl Wagner , Luis Federico Leloir , Gerhard Herzberg , Georg Wittig , Gerold Schwarzenbach , John Kendrew , Feodor Lynen , Derek Barton , Odd Hassel , Gerhard Schramm , Manfred Eigen , Konrad Emil Bloch , Georges Chaudron , Louis Plack Hammett , Herbert Charles Brown , Har Gobind Khorana , Wilhelm Ludwig August Geilmann , Dionýz Ilkovič , Noel Bryan Slater , Gunnar Blix , Ernst Klenk , Stanley Bruckenstein[531] , James Baddiley , Fritz Arndt , John Monteath Robertson , Edgar Bright Wilson Jr. , Alberte Bucher Pullman , Bernard Pullman , Saul Winstein , Alfred Valentin Champagnat , Neil Bartlett",Karl Ziegler,1898,1973,Max Planck Institute for Coal Research,"""for their discoveries in the field of the chemistry and technology of high polymers""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
